,Proud,Participantsex,Levelofeducation,Ashamed,Skilful,Envious,Desprecio,Goodnatured,Inspired,Uneasy,Hateful,Leadersex,Jealous,Frustrated,Maritalstatus,Warm,Capable,Competent,Resentful,Wellintentioned,Assessmentleader,Simpaty,Friendly,Molestia,Disgusted,Pity,Intelligent,Admiring,Age,Respectful,Confident,Trustworthy,Replacementleader,Typeofcompany,Angry,Responsaatribu,Sincere,Efficient,Group1(Competent),Group2(Friendly),Group3(Hateful),Group4(Admiring),Group5(Jealous),Group6(Uneasy)
382,5,2,3,1,3,2,2,3,5,2,1,1,2,2,2,3,3,3,2,3,6,2,3,2,3,1,3,3,43,4,3,3,1,1,2,5,3,3,4,4,1,4,1,3
383,1,2,4,3,2,1,1,2,1,1,1,1,1,3,4,2,2,2,1,2,4,1,2,3,3,1,2,1,50,1,3,2,1,1,3,4,2,1,4,4,1,2,1,2
384,2,2,2,2,5,4,2,2,4,2,2,2,4,3,1,2,5,5,2,2,3,1,2,2,3,1,5,3,27,3,5,3,2,1,3,4,2,5,5,2,1,3,1,2
385,3,1,3,1,4,1,4,5,2,1,1,1,2,1,2,2,3,3,3,2,3,1,6,3,3,1,5,3,49,3,4,2,2,2,4,3,1,5,4,2,2,1,1,2
386,3,2,4,2,5,4,1,4,3,3,1,2,3,4,1,3,6,5,3,4,3,1,3,4,4,1,5,5,35,4,6,6,2,1,2,2,2,5,2,2,1,3,2,2
387,3,2,3,2,5,4,1,4,3,3,1,1,3,4,1,3,6,5,3,4,5,1,3,4,4,1,5,5,23,4,6,6,3,1,2,5,2,5,4,2,1,4,1,2
388,6,1,3,1,6,1,3,4,6,5,2,2,1,2,0,4,6,6,4,6,3,3,4,4,2,1,6,6,43,6,6,6,2,1,3,6,1,6,5,3,1,3,1,1
389,1,1,3,5,4,1,3,3,1,1,1,2,1,5,2,2,4,4,1,1,4,1,2,3,3,5,3,1,62,2,4,3,3,1,6,4,1,2,3,2,1,2,1,2
390,1,2,2,3,3,1,4,2,1,1,4,2,1,3,1,2,2,2,4,2,6,2,2,4,4,3,4,1,25,1,3,2,1,1,4,6,1,2,5,4,1,4,1,2
391,5,1,5,2,6,5,6,2,3,2,6,1,2,2,2,2,5,2,5,4,4,6,2,5,5,2,3,3,46,4,3,4,3,1,2,4,2,5,4,3,1,2,1,2
392,1,2,3,1,1,1,1,2,1,1,1,2,1,1,2,2,2,1,1,1,6,1,3,1,1,1,1,1,38,1,2,3,3,1,1,4,2,1,4,3,1,4,2,2
393,1,1,4,1,3,1,1,3,1,1,1,2,1,1,2,3,3,3,1,3,6,1,3,1,1,1,3,1,37,1,3,3,1,2,1,6,3,3,4,4,1,6,1,4
394,1,2,1,1,4,1,1,3,1,1,1,2,1,1,2,3,3,4,1,3,6,1,3,1,1,1,5,1,51,1,4,3,1,1,1,6,3,3,5,5,1,4,2,2
395,1,2,4,1,3,1,1,2,1,2,1,1,1,1,2,1,5,4,1,2,5,1,1,1,1,1,3,1,41,2,4,3,2,1,1,5,3,5,5,2,1,2,1,1
396,1,1,5,1,3,1,1,3,1,1,1,1,1,1,2,3,3,3,1,3,4,2,3,1,1,1,3,2,41,2,3,3,2,1,1,3,3,3,3,3,1,2,1,2
397,1,2,4,1,4,1,1,3,1,1,1,2,1,1,1,3,4,5,1,3,6,1,3,1,1,1,3,1,33,3,4,3,1,1,1,6,3,5,5,4,4,4,4,2
398,1,1,4,1,3,1,1,2,1,1,1,1,1,1,2,2,3,3,1,2,6,1,2,1,1,1,4,1,40,4,5,2,2,1,1,6,2,2,6,3,1,3,2,2
399,1,1,4,1,4,1,1,2,1,1,1,2,1,1,2,2,3,4,1,2,3,1,2,1,1,1,3,2,46,3,3,2,1,1,1,1,2,5,3,2,1,2,1,1
400,1,1,1,1,5,1,1,2,2,1,1,2,1,1,2,2,5,5,1,4,6,1,1,1,1,1,5,2,44,2,4,2,1,2,1,4,1,5,5,2,1,2,3,2
