,Leadersex,Intelligent,Trustworthy,Efficient,Skilful,Pity,Typeofcompany,Replacementleader,Disgusted,Responsaatribu,Proud,Hateful,Capable,Resentful,Wellintentioned,Inspired,Sincere,Frustrated,Simpaty,Respectful,Molestia,Assessmentleader,Confident,Friendly,Goodnatured,Participantsex,Envious,Uneasy,Angry,Levelofeducation,Ashamed,Desprecio,Age,Jealous,Warm,Admiring,Maritalstatus,Competent
37,1,6,6,5,6,1,1,1,1,5,1,1,6,1,6,4,5,1,4,1,1,6,6,6,5,1,1,1,1,4,1,1,29,1,5,4,2,3
38,1,3,2,3,4,1,1,3,1,4,2,1,3,1,2,2,2,1,2,3,1,5,3,2,2,2,1,2,1,4,1,1,41,1,2,3,2,3
39,1,3,3,3,3,1,1,3,1,5,1,1,3,1,3,3,2,1,3,3,1,5,3,3,2,1,1,2,1,1,1,1,41,1,2,3,1,3
40,1,4,4,5,4,1,1,3,1,5,1,1,4,1,4,3,3,1,3,3,1,5,4,3,3,2,1,2,1,3,1,1,48,1,3,3,2,5
41,1,5,2,4,5,1,1,3,1,3,1,1,4,1,3,4,4,1,2,3,1,4,3,2,2,2,1,1,1,1,1,1,38,1,2,4,2,4
42,1,3,3,3,4,1,1,1,1,6,1,1,4,1,3,3,3,1,2,3,1,5,5,2,3,1,1,2,1,2,1,1,65,1,2,4,2,3
43,1,4,3,5,4,1,1,1,1,5,2,1,5,1,3,3,2,1,3,3,1,5,4,3,3,2,1,2,1,4,1,1,44,1,2,3,2,4
44,1,4,4,4,4,1,1,1,1,6,2,1,3,1,3,3,3,1,3,3,1,4,3,3,2,1,1,2,1,3,1,1,47,1,2,3,2,4
45,1,4,4,4,5,1,1,4,1,5,2,1,5,1,3,3,3,1,2,3,1,6,4,3,3,1,1,2,1,4,1,1,34,1,3,3,1,5
46,1,4,5,5,5,1,1,1,1,5,1,1,5,1,4,2,3,1,1,5,1,6,5,3,4,1,1,1,1,4,1,1,28,1,3,4,0,5
